	num	Unnamed: 0	blast_hit	blast_summary	file	otu	Kingdom	Phylum	Class	Order	Family	Genus	sum_size	fiull_tax	Donor	percent 	Unnamed: 16	total	per	cut_off	detections
15	86	2040	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	086-spike-H02-0-1p	otu213	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(94)	Enterobacteriaceae(94)	Pseudocitrobacter(54)	10	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(94)_Enterobacteriaceae(94)_Pseudocitrobacter(54)	H02	0.1	1p	57174	0.017490467695106166	0	0
16	94	2939	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	094-spike-H02-0-1p	otu213	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(94)	Enterobacteriaceae(94)	Pseudocitrobacter(54)	8	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(94)_Enterobacteriaceae(94)_Pseudocitrobacter(54)	H02	0.1	1p	62857	0.012727301652958302	0	0
17	78	2204	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	078-spike-H02-0-1p	otu241	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(95)	Enterobacteriaceae(95)	Pseudocitrobacter(67)	17	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(95)_Enterobacteriaceae(95)_Pseudocitrobacter(67)	H02	0.1	1p	53765	0.031619083046591646	0	0
18	86	1994	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	086-spike-H02-0-1p	otu241	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(95)	Enterobacteriaceae(95)	Pseudocitrobacter(67)	13	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(95)_Enterobacteriaceae(95)_Pseudocitrobacter(67)	H02	0.1	1p	57174	0.022737608003638016	0	0
19	94	3004	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	094-spike-H02-0-1p	otu241	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(95)	Enterobacteriaceae(95)	Pseudocitrobacter(67)	14	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(95)_Enterobacteriaceae(95)_Pseudocitrobacter(67)	H02	0.1	1p	62857	0.02227277789267703	0	0
20	78	2604	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	078-spike-H02-0-1p	chimera	0	0	0	0	0	0	12	0_0_0_0_0_0	H02	0.1	1p	53765	0.022319352738770577	0	0
21	86	1770	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	086-spike-H02-0-1p	chimera	0	0	0	0	0	0	14	0_0_0_0_0_0	H02	0.1	1p	57174	0.024486654773148635	0	0
22	94	1971	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	094-spike-H02-0-1p	chimera	0	0	0	0	0	0	8	0_0_0_0_0_0	H02	0.1	1p	62857	0.012727301652958302	0	0
23	78	3616	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	078-spike-H02-0-1p	otu92	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(96)	Enterobacteriaceae(96)	Pseudocitrobacter(43)	1	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(96)_Enterobacteriaceae(96)_Pseudocitrobacter(43)	H02	0.1	1p	53765	0.0018599460615642146	0	0
24	94	1927	CmR	89.041;73;8;0;4;76;1;73;2.5599999999999998e-20	094-spike-H02-0-1p	otu92	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(96)	Enterobacteriaceae(96)	Pseudocitrobacter(43)	2	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(96)_Enterobacteriaceae(96)_Pseudocitrobacter(43)	H02	0.1	1p	62857	0.0031818254132395755	0	0
25	78	8739	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	078-spike-H02-0-1p	otu470	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(99)	Enterobacteriaceae(99)	Pseudocitrobacter(38)	1	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(99)_Enterobacteriaceae(99)_Pseudocitrobacter(38)	H02	0.1	1p	53765	0.0018599460615642146	0	0
26	82	0	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	082-spike-H01-0-1p	otu2	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	Escherichia-Shigella(98)	32182	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(100)_Enterobacteriaceae(100)_Escherichia-Shigella(98)	H01	0.1	1p	40238	79.97912421094487	1	3
27	90	0	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	090-spike-H01-0-1p	otu2	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	Escherichia-Shigella(98)	53543	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(100)_Enterobacteriaceae(100)_Escherichia-Shigella(98)	H01	0.1	1p	53915	99.31002503941389	1	3
28	74	0	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	074-spike-H01-0-1p	otu2	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	Escherichia-Shigella(98)	48268	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(100)_Enterobacteriaceae(100)_Escherichia-Shigella(98)	H01	0.1	1p	48789	98.93213634220828	1	3
29	82	2	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	082-spike-H01-0-1p	otu14	Bacteria(100)	Bacteroidetes(100)	Bacteroidia(100)	Bacteroidales(100)	Prevotellaceae(100)	Prevotella_9(100)	7760	Bacteria(100)_Bacteroidetes(100)_Bacteroidia(100)_Bacteroidales(100)_Prevotellaceae(100)_Prevotella_9(100)	H01	0.1	1p	40238	19.285252746160346	1	1
30	82	914	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	082-spike-H01-0-1p	otu49	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	Pseudocitrobacter(52)	156	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(100)_Enterobacteriaceae(100)_Pseudocitrobacter(52)	H01	0.1	1p	40238	0.38769322530940903	0	1
31	90	1156	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	090-spike-H01-0-1p	otu49	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	Pseudocitrobacter(52)	258	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(100)_Enterobacteriaceae(100)_Pseudocitrobacter(52)	H01	0.1	1p	53915	0.4785310210516554	0	1
32	74	1025	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	074-spike-H01-0-1p	otu49	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	Pseudocitrobacter(52)	330	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(100)_Enterobacteriaceae(100)_Pseudocitrobacter(52)	H01	0.1	1p	48789	0.6763819713460001	1	1
33	82	1514	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	082-spike-H01-0-1p	otu307	Bacteria(100)	Proteobacteria(99)	Gammaproteobacteria(99)	Enterobacteriales(99)	Enterobacteriaceae(99)	Pseudocitrobacter(37)	35	Bacteria(100)_Proteobacteria(99)_Gammaproteobacteria(99)_Enterobacteriales(99)_Enterobacteriaceae(99)_Pseudocitrobacter(37)	H01	0.1	1p	40238	0.08698245439634177	0	0
34	90	2365	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	090-spike-H01-0-1p	otu307	Bacteria(100)	Proteobacteria(99)	Gammaproteobacteria(99)	Enterobacteriales(99)	Enterobacteriaceae(99)	Pseudocitrobacter(37)	32	Bacteria(100)_Proteobacteria(99)_Gammaproteobacteria(99)_Enterobacteriales(99)_Enterobacteriaceae(99)_Pseudocitrobacter(37)	H01	0.1	1p	53915	0.05935268478160067	0	0
35	74	1864	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	074-spike-H01-0-1p	otu307	Bacteria(100)	Proteobacteria(99)	Gammaproteobacteria(99)	Enterobacteriales(99)	Enterobacteriaceae(99)	Pseudocitrobacter(37)	52	Bacteria(100)_Proteobacteria(99)_Gammaproteobacteria(99)_Enterobacteriales(99)_Enterobacteriaceae(99)_Pseudocitrobacter(37)	H01	0.1	1p	48789	0.10658140154543032	0	0
36	82	1687	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	082-spike-H01-0-1p	otu207	Bacteria(100)	Proteobacteria(99)	Gammaproteobacteria(99)	Enterobacteriales(98)	Enterobacteriaceae(98)	Pseudocitrobacter(54)	35	Bacteria(100)_Proteobacteria(99)_Gammaproteobacteria(99)_Enterobacteriales(98)_Enterobacteriaceae(98)_Pseudocitrobacter(54)	H01	0.1	1p	40238	0.08698245439634177	0	0
37	74	2315	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	074-spike-H01-0-1p	otu207	Bacteria(100)	Proteobacteria(99)	Gammaproteobacteria(99)	Enterobacteriales(98)	Enterobacteriaceae(98)	Pseudocitrobacter(54)	71	Bacteria(100)_Proteobacteria(99)_Gammaproteobacteria(99)_Enterobacteriales(98)_Enterobacteriaceae(98)_Pseudocitrobacter(54)	H01	0.1	1p	48789	0.14552460595626063	0	0
38	82	1597	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	082-spike-H01-0-1p	otu268	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	ATCC-39006(30)	16	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(100)_Enterobacteriaceae(100)_ATCC-39006(30)	H01	0.1	1p	40238	0.03976340772404195	0	0
39	90	1796	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	090-spike-H01-0-1p	otu268	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	ATCC-39006(30)	20	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(100)_Enterobacteriaceae(100)_ATCC-39006(30)	H01	0.1	1p	53915	0.03709542798850042	0	0
40	74	2481	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	074-spike-H01-0-1p	otu268	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	ATCC-39006(30)	28	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(100)_Enterobacteriaceae(100)_ATCC-39006(30)	H01	0.1	1p	48789	0.057389985447539406	0	0
41	82	1749	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	082-spike-H01-0-1p	otu535	Bacteria(100)	Bacteroidetes(100)	Bacteroidia(100)	Bacteroidales(100)	Prevotellaceae(100)	Prevotella_9(88)	14	Bacteria(100)_Bacteroidetes(100)_Bacteroidia(100)_Bacteroidales(100)_Prevotellaceae(100)_Prevotella_9(88)	H01	0.1	1p	40238	0.034792981758536706	0	0
42	82	2028	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	082-spike-H01-0-1p	chimera	0	0	0	0	0	0	13	0_0_0_0_0_0	H01	0.1	1p	40238	0.03230776877578408	0	0
43	90	2498	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	090-spike-H01-0-1p	chimera	0	0	0	0	0	0	7	0_0_0_0_0_0	H01	0.1	1p	53915	0.012983399795975147	0	0
44	74	4818	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	074-spike-H01-0-1p	chimera	0	0	0	0	0	0	4	0_0_0_0_0_0	H01	0.1	1p	48789	0.008198569349648487	0	0
45	82	1852	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	082-spike-H01-0-1p	otu210	Bacteria(100)	Bacteroidetes(100)	Bacteroidia(100)	Bacteroidales(100)	Prevotellaceae(100)	Prevotella_9(95)	12	Bacteria(100)_Bacteroidetes(100)_Bacteroidia(100)_Bacteroidales(100)_Prevotellaceae(100)_Prevotella_9(95)	H01	0.1	1p	40238	0.029822555793031464	0	0
46	82	2136	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	082-spike-H01-0-1p	otu241	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(95)	Enterobacteriaceae(95)	Pseudocitrobacter(67)	4	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(95)_Enterobacteriaceae(95)_Pseudocitrobacter(67)	H01	0.1	1p	40238	0.009940851931010488	0	0
47	90	1965	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	090-spike-H01-0-1p	otu241	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(95)	Enterobacteriaceae(95)	Pseudocitrobacter(67)	4	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(95)_Enterobacteriaceae(95)_Pseudocitrobacter(67)	H01	0.1	1p	53915	0.007419085597700084	0	0
48	74	2339	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	074-spike-H01-0-1p	otu241	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(95)	Enterobacteriaceae(95)	Pseudocitrobacter(67)	15	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(95)_Enterobacteriaceae(95)_Pseudocitrobacter(67)	H01	0.1	1p	48789	0.030744635061181823	0	0
49	82	2933	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	082-spike-H01-0-1p	otu213	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(94)	Enterobacteriaceae(94)	Pseudocitrobacter(54)	3	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(94)_Enterobacteriaceae(94)_Pseudocitrobacter(54)	H01	0.1	1p	40238	0.007455638948257866	0	0
50	90	2291	CmR	100.0;73;0;0;6;78;1;73;2.11e-39	090-spike-H01-0-1p	otu213	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(94)	Enterobacteriaceae(94)	Pseudocitrobacter(54)	9	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(94)_Enterobacteriaceae(94)_Pseudocitrobacter(54)	H01	0.1	1p	53915	0.016692942594825188	0	0
51	74	2600	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	074-spike-H01-0-1p	otu213	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(94)	Enterobacteriaceae(94)	Pseudocitrobacter(54)	17	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(94)_Enterobacteriaceae(94)_Pseudocitrobacter(54)	H01	0.1	1p	48789	0.03484391973600607	0	0
52	82	1772	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	082-spike-H01-0-1p	otu464	Bacteria(100)	Proteobacteria(99)	Gammaproteobacteria(99)	Enterobacteriales(94)	Enterobacteriaceae(94)	Pseudocitrobacter(43)	1	Bacteria(100)_Proteobacteria(99)_Gammaproteobacteria(99)_Enterobacteriales(94)_Enterobacteriaceae(94)_Pseudocitrobacter(43)	H01	0.1	1p	40238	0.002485212982752622	0	0
53	74	6691	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	074-spike-H01-0-1p	otu464	Bacteria(100)	Proteobacteria(99)	Gammaproteobacteria(99)	Enterobacteriales(94)	Enterobacteriaceae(94)	Pseudocitrobacter(43)	1	Bacteria(100)_Proteobacteria(99)_Gammaproteobacteria(99)_Enterobacteriales(94)_Enterobacteriaceae(94)_Pseudocitrobacter(43)	H01	0.1	1p	48789	0.0020496423374121216	0	0
54	82	3218	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	082-spike-H01-0-1p	otu359	Bacteria(100)	Proteobacteria(99)	Gammaproteobacteria(99)	Enterobacteriales(94)	Enterobacteriaceae(94)	Pseudocitrobacter(27)	1	Bacteria(100)_Proteobacteria(99)_Gammaproteobacteria(99)_Enterobacteriales(94)_Enterobacteriaceae(94)_Pseudocitrobacter(27)	H01	0.1	1p	40238	0.002485212982752622	0	0
55	82	3938	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	082-spike-H01-0-1p	otu534	Bacteria(100)	Bacteroidetes(100)	Bacteroidia(100)	Bacteroidales(100)	Prevotellaceae(100)	Prevotella_9(87)	1	Bacteria(100)_Bacteroidetes(100)_Bacteroidia(100)_Bacteroidales(100)_Prevotellaceae(100)_Prevotella_9(87)	H01	0.1	1p	40238	0.002485212982752622	0	0
56	82	4740	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	082-spike-H01-0-1p	otu536	Bacteria(100)	Proteobacteria(92)	Gammaproteobacteria(91)	Enterobacteriales(50)	Enterobacteriaceae(50)	Atlantibacter(18)	1	Bacteria(100)_Proteobacteria(92)_Gammaproteobacteria(91)_Enterobacteriales(50)_Enterobacteriaceae(50)_Atlantibacter(18)	H01	0.1	1p	40238	0.002485212982752622	0	0
57	82	5114	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	082-spike-H01-0-1p	otu500	Bacteria(100)	Bacteroidetes(100)	Bacteroidia(100)	Bacteroidales(96)	Prevotellaceae(94)	Prevotella_9(55)	1	Bacteria(100)_Bacteroidetes(100)_Bacteroidia(100)_Bacteroidales(96)_Prevotellaceae(94)_Prevotella_9(55)	H01	0.1	1p	40238	0.002485212982752622	0	0
58	82	5755	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	082-spike-H01-0-1p	otu517	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(75)	Enterobacteriaceae(75)	Leminorella(16)	1	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(75)_Enterobacteriaceae(75)_Leminorella(16)	H01	0.1	1p	40238	0.002485212982752622	0	0
59	82	5874	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	082-spike-H01-0-1p	otu212	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(95)	Enterobacteriaceae(95)	Pseudocitrobacter(59)	1	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(95)_Enterobacteriaceae(95)_Pseudocitrobacter(59)	H01	0.1	1p	40238	0.002485212982752622	0	0
60	90	5430	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	090-spike-H01-0-1p	otu212	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(95)	Enterobacteriaceae(95)	Pseudocitrobacter(59)	1	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(95)_Enterobacteriaceae(95)_Pseudocitrobacter(59)	H01	0.1	1p	53915	0.001854771399425021	0	0
61	82	6476	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	082-spike-H01-0-1p	otu533	Bacteria(100)	Bacteroidetes(100)	Bacteroidia(100)	Bacteroidales(100)	Prevotellaceae(99)	Prevotella_9(87)	1	Bacteria(100)_Bacteroidetes(100)_Bacteroidia(100)_Bacteroidales(100)_Prevotellaceae(99)_Prevotella_9(87)	H01	0.1	1p	40238	0.002485212982752622	0	0
62	86	158	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	086-spike-H02-0-1p	otu83	Bacteria(97)	Bacteroidetes(31)	Bacteroidia(27)	Bacteroidales(16)	Marinilabiliaceae(11)	Geofilum(11)	64	Bacteria(97)_Bacteroidetes(31)_Bacteroidia(27)_Bacteroidales(16)_Marinilabiliaceae(11)_Geofilum(11)	H02	0.1	1p	57174	0.11193899324867947	0	0
63	86	1805	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	086-spike-H02-0-1p	otu207	Bacteria(100)	Proteobacteria(99)	Gammaproteobacteria(99)	Enterobacteriales(98)	Enterobacteriaceae(98)	Pseudocitrobacter(54)	58	Bacteria(100)_Proteobacteria(99)_Gammaproteobacteria(99)_Enterobacteriales(98)_Enterobacteriaceae(98)_Pseudocitrobacter(54)	H02	0.1	1p	57174	0.10144471263161577	0	0
